When did Prime Minister Narendra Modi chair the 45th meeting of PRAGATI?,government,December 26, 2024.
The Kharsawan Massacre happened in which current state?,history,Jharkhand is the current state.
Who has been appointed as the new Managing Director by the skincare brand ‘Nivea India’?,business,Geetika Mehta has been appointed.
What is the significance of 26 January in India?,culture,It commemorates the adoption of the Constitution of India.
Who has been recently appointed as the new Chief of Materiel of the Indian Navy?,military,Vice Admiral Kiran Deshmukh was appointed.
Which Indian state is the host of the National SARAS Mela 2025?,culture,Kerala is the host state.
Name the national river of India.,geography,Ganga River is the national river of India.
When was India’s first Coastline-Waders Bird Census conducted and where?,environment,It was conducted on January 3, 2025 at Marine National Park, Jamnagar, Gujarat.
Why is Lohri celebrated in India?,culture,Lohri marks the end of the sowing season and seeks blessings for a good harvest.
Why is NRI or Pravasi Bharatiya Divas celebrated in India?,culture,It acknowledges contributions of overseas Indians to India's development.
When do we observe Lal Bahadur Shastri’s death anniversary?,history,It is observed on 11 January.
Every year India celebrates National Youth Day on 12 January. What is its significance?,culture,It marks the birth anniversary of Swami Vivekananda.
When is Indian Army Day in 2025?,military,Indian Army Day is on 15 January 2025.
When do we celebrate Netaji Subhas Chandra Bose Jayanti?,history,It is celebrated on 23 January.
Name the institute which made an appearance in the news recently for developing a bacteria to combat soil pollution and boost agriculture.,science,IIT Bombay developed the bacteria.
Which Indian state made the significant documentation with the first-ever recording of the Banded Royal butterfly?,environment,Tripura made the documentation.
Name the bird known for its unique ability to mimic human speech.,science,The Parrot is known for mimicking human speech.
Who is the current President of India?,politics,Droupadi Murmu is the current President of India.
Which is the longest river in India?,geography,The Ganges River is the longest river in India.
What is the national flower of India?,national symbols,Lotus is the national flower of India.
What is the capital of India?,geography,New Delhi is the capital of India.
Who is known as the Father of the Nation in India?,history,Mahatma Gandhi is known as the Father of the Nation.
Which festival is known as the “Festival of Lights”?,culture,Diwali is known as the Festival of Lights.
Which Indian cricketer is known as the “God of Cricket”?,sports,Sachin Tendulkar is known as the God of Cricket.
When was the Constitution of India adopted?,history,It was adopted on November 26, 1949.
What is the significance of Republic Day in India?,culture,Republic Day marks the adoption of India's constitution.
When was the first Republic Day parade held at Rajpath?,history,The first parade was held in 1955.
Who unfurls the national flag of India during the parade?,government,The President of India unfurls the national flag.
How many tableaux will be there in the Republic Day parade of 2025?,culture,There will be 31 tableaux in 2025.
What is the theme of Republic Day in 2025?,culture,The theme is "Swarnim Bharat: Virasat aur Vikas."
When do we celebrate National Girl Child Day?,culture,National Girl Child Day is observed on 24 January.
Why do we celebrate National Voters Day?,culture,It encourages young voters to participate in politics.
Who is the President of India as of 2025?,general knowledge,Droupadi Murmu
What is the national bird of India?,general knowledge,Indian Peacock
Which planet is known as the Red Planet?,science,Mars
Who wrote the Indian national anthem?,literature,Rabindranath Tagore
What is the capital city of Australia?,geography,Canberra
Which is the longest river in the world?,geography,Nile River
Who invented the light bulb?,science,Thomas Edison
What is the currency of Japan?,economics,Yen
Which gas do plants absorb from the atmosphere?,biology,Carbon Dioxide
What is the largest continent in the world?,geography,Asia
What is the full form of KFC?,abbreviations,Kentucky Fried Chicken
What is the full form of VIP?,abbreviations,Very Important Person
What is the full form of LOL?,abbreviations,Laugh Out Loud
What is the full form of ATM?,abbreviations,Automated Teller Machine
What is the full form of SIM?,abbreviations,Subscriber Identity Module
What is the full form of OTP?,abbreviations,One-Time Password
What is the full form of WIFI?,abbreviations,Wireless Fidelity
What is the full name of gif?,abbreviations,Graphics Interchange Format
What is the full form of AI?,abbreviations,Artificial Intelligence
What is the full form of CCTV?,abbreviations,Closed-Circuit Television
What is the full form of CEO?,abbreviations,Chief Executive Officer
What is the full form of TV?,abbreviations,Television
What is the hardest natural substance on Earth?,general knowledge,Diamond
Who was the first person to land on the moon?,history,Neil Armstrong
What is the capital of France?,geography,Paris
Who wrote the play “Romeo and Juliet”?,literature,William Shakespeare
What is the largest active volcano in the world?,geography,Mauna Loa
What is the largest freshwater lake by volume?,geography,Lake Baikal
Which country invented the printing press?,history,China
What is the smallest country by area?,geography,Vatican City
Who was the first President of the United States?,history,George Washington
How many continents are there?,geography,Seven
Who wrote the famous book “1984”?,literature,George Orwell
What is the capital of Japan?,geography,Tokyo
What does AQI stand for?,environment,Air Quality Index
Which gas is the main component of clean air?,science,Nitrogen
Which device is commonly used to measure air quality?,science,Air Quality Monitor
Which layer of the atmosphere protects us from UV radiation?,science,Stratosphere
What is the last day of December called?,general knowledge,New Year’s Eve
Which is the shortest day of the year in December called?,general knowledge,Winter Solstice
What special day is observed on December 1st to spread health awareness?,general knowledge,World AIDS Day
When is Boxing Day celebrated globally?,general knowledge,December 26
What Jewish festival is celebrated in December?,culture,Hanukkah
When is UNICEF Foundation Day observed?,general knowledge,December 11
What special day is celebrated on December 14 in India?,general knowledge,National Energy Conservation Day
When is Goa Liberation Day celebrated?,history,December 19
What is the currency of China?,economics,Renminbi (Yuan)
Which bird has been recognised as the National Bird of the United States?,general knowledge,The Bald Eagle
China has recently approved the construction of the world’s largest dam on which river?,geography,Brahmaputra river
Where is the 18th Elephant and Tourism Festival being celebrated?,culture,Nepal
Who won the 2024 FIDE Women’s World Rapid Chess Championship?,sports,Koneru Humpy
Who is the world’s second youngest to scale Mount Everest from the Nepal side?,sports,Kamya Karthikeyan
The government of which country has impeached its acting president in December 2024?,politics,South Korea
Which country will be hosting the World Audio Visual & Entertainment Summit (WAVES) in 2025?,general knowledge,India
Which country has recently reported the Norovirus outbreak in December 2024?,health,United States
Name the country that recently filed a case against Israel at the International Court of Justice accusing it of genocide.,politics,South Africa
Which player won the Scottish Junior Open Squash Under-19 title?,sports,Anhat Singh
Which important international day will be observed on January 4 2025?,general knowledge,World Braille Day
Name the new law which Switzerland is implementing starting January 1, 2025, regarding facial coverings.,law,Burqa Ban
Name the new tax introduced in Russia starting January 1, 2025.,economics,Tourist tax
In January 2025, China is facing a new virus called the HMPV virus. What are its symptoms?,health,Flu-like and similar to COVID-19
Name the country which has recently launched the CR450 prototype, the world’s fastest high-speed train.,technology,China
Who wrote the famous play, Romeo and Juliet?,literature,William Shakespeare
Name the smallest country in the world.,geography,Vatican City
Which is the longest river in the world?,geography,Nile River
Who painted the Mona Lisa?,art,Leonardo da Vinci
Name the largest continent in the world.,geography,Asia
What is the boiling point of water in Celsius?,science,100 degrees C
Which country is known as the Land of the Rising Sun?,geography,Japan
Who invented the telephone?,science,Alexander Graham Bell
Which continent is known as the Dark Continent?,geography,Africa
How many days are there in a leap year?,science,366
What is the national bird of India?,general knowledge,Peacock
What is the smallest two-digit number?,mathematics,10
What is the process by which plants make their food called?,biology,Photosynthesis
What is the hardest natural substance on Earth?,general knowledge,Diamond
Who wrote the famous book Harry Potter?,literature,J.K. Rowling
What is the smallest bone in the human body?,biology,Stapes (in the ear)
What is the currency of Japan?,economics,Yen
How many bones are there in the human body?,biology,206 bones
What is the largest desert in the world?,geography,Sahara Desert
Who discovered gravity?,science,Isaac Newton
How many colors are there in a rainbow?,science,7
Which animal is known for its ability to change colors?,biology,Chameleon
What is the main ingredient in guacamole?,food,Avocado
Which animal is the symbol of Australia?,general knowledge,Kangaroo
Which fruit is known for having its seeds on the outside?,general knowledge,Strawberry
What is the main language spoken in Brazil?,geography,Portuguese
Which fruit is known as the “king of fruits”?,general knowledge,Durian
Who is the author of the book “The Diary of a Young Girl”?,literature,Anne Frank
What is the largest island in the world?,geography,Greenland
What is the currency of the United States?,economics,Dollar
Which month of the year has the least number of days?,general knowledge,February
What is the shape of the Earth?,science,Spherical
Which planet is known as the “Morning Star” and “Evening Star”?,science,Venus
What is the name of the famous clock tower in London?,general knowledge,Big Ben
What is the name of the first artificial satellite launched into space?,science,Sputnik 1
Who is the author of the book “Matilda”?,literature,Roald Dahl
In which year did India become a republic?,history,1950
Which is the only continent without a desert?,geography,Europe
What is the national animal of China?,general knowledge,Giant Panda
question,topic,answer
Who is the author of Mahabharata?,Mahabharata,Vyasa
Who is the eldest Pandava?,Mahabharata,Yudhishthira
Who is the mother of the Kauravas?,Mahabharata,Gandhari
What is the name of Arjuna’s bow?,Mahabharata,Gandiva
Who is the father of Bhishma?,Mahabharata,Shantanu
Who is the wife of the Pandavas?,Mahabharata,Draupadi
Who is the charioteer of Arjuna?,Mahabharata,Krishna
Who is known as the son of the wind god?,Mahabharata,Bhima
Who is the guru of the Pandavas and Kauravas?,Mahabharata,Drona
Who is the eldest Kaurava?,Mahabharata,Duryodhana
Who killed Drona in the Mahabharata?,Mahabharata,Dhrishtadyumna
Who is the blind king of Hastinapura?,Mahabharata,Dhritarashtra
Who is the father of Karna?,Mahabharata,Surya
Who is the sister of Krishna?,Mahabharata,Subhadra
What is the name of the kingdom ruled by the Pandavas?,Mahabharata,Indraprastha
Who is the wife of Abhimanyu?,Mahabharata,Uttara
Who is the son of Arjuna and Subhadra?,Mahabharata,Abhimanyu
What is the name of Karna’s foster mother?,Mahabharata,Radha
Who is the mother of the Pandavas?,Mahabharata,Kunti
Who performed the last rites of Bhishma?,Mahabharata,Yudhishthira
What is the name of the celestial weapon given to Arjuna by Indra?,Mahabharata,Vajra
Who is the king of Panchala?,Mahabharata,Drupada
Who is the son of Drona?,Mahabharata,Ashwatthama
Who is known as the son of the sun god?,Mahabharata,Karna
Who is the warrior with a thousand sons?,Mahabharata,Bhishma
Who is the brother of Gandhari?,Mahabharata,Shakuni
Who is the charioteer of Karna?,Mahabharata,Shalya
What is the name of the city built by Maya for the Pandavas?,Mahabharata,Indraprastha
Who is the eldest son of Kunti?,Mahabharata,Karna
Who is the commander of the Kaurava army after Bhishma?,Mahabharata,Drona
Who cursed Krishna’s dynasty to perish?,Mahabharata,Gandhari
What is the name of the forest where the Pandavas spent their exile?,Mahabharata,Kamyaka
Who was the father of Shikhandi?,Mahabharata,Drupada
Who is the husband of Devaki?,Mahabharata,Vasudeva
Who is the demon killed by Bhima in the forest?,Mahabharata,Hidimba
Who is the mother of Ashwatthama?,Mahabharata,Kripi
Who is the king of the Gandharvas?,Mahabharata,Chitrasena
Who did Arjuna marry during his exile?,Mahabharata,Ulupi
Who was the ruler of the Kingdom of Anga?,Mahabharata,Karna
Who wrote the Bhagavad Gita?,Mahabharata,Vyasa
Who is known for his vow of celibacy?,Mahabharata,Bhishma
Who is the son of Duryodhana?,Mahabharata,Lakshmana
Who is the wife of Bhima?,Mahabharata,Hidimbi
Who is the son of Ghatotkacha?,Mahabharata,Barbarika
Who is the father of Abhimanyu?,Mahabharata,Arjuna
Who is the second Pandava brother?,Mahabharata,Bhima
Who is the mother of Nakula and Sahadeva?,Mahabharata,Madri
Who was the teacher of Bhishma?,Mahabharata,Parashurama
Who is the goddess of wealth worshipped by Draupadi?,Mahabharata,Lakshmi
Who is the son of Drupada and brother of Draupadi?,Mahabharata,Dhrishtadyumna
Who is the chief minister of Hastinapura?,Mahabharata,Vidura
Who is the father of Shakuni?,Mahabharata,Subala
Who is known for his knowledge of Dharma in the Mahabharata?,Mahabharata,Yudhishthira
Who is the uncle of the Pandavas?,Mahabharata,Vidura
Who was the son of Dushasana?,Mahabharata,Dushman
Who is the divine architect who built Indraprastha?,Mahabharata,Maya
Who is the son of Arjuna and Chitrangada?,Mahabharata,Babruvahana
Who was the last commander-in-chief of the Kaurava army?,Mahabharata,Ashwatthama
